way_id,highway,name,oneway,maxspeed_raw,refs
8458456,primary,Kalyan - Shil Road,yes,,3508501445|1827513709|2248208730|11809151220|12375127957|2248208298|13503856138|3508501443|13941715581|7320904135|3508501442|13941715569|7324879232
8461852,residential,Shree Nateshwar Mahadev Mandir Marg,,,11133944867|11133944866|2230881525|2230881521|2230881517|2230881514|2230881513|2230881516|2230881519|2230881523|7330879063|7330879064|1078664103|12072966779|12072966781|7330879066|7330879065|1078664418|1078664175
8462541,tertiary,MIDC Pipeline Road,no,,241143404|5227697818|241143405|5227697664|241143406|5227697663|241143408|5227697662|5227697661|5227697660|30610592|5227697659|5227697658|241143410|5227697657|5227697656|241143411|5227697655|5227697654|241143412|5227697653|30610591
8462602,primary,Kalyan - Shil Road,yes,,3508498272|3508498273|3508498275|3508498276|10927892988|13338035296|2242392526|2242392557|3508498278|2242392575|13951767635|241141442|11072974760|3508498282|13415138550|3508498284|13333673790|3508498286|241141443|7349978887|8866119180|3508498289|13992439113|9899397131|13935770078|8866100584|10960911674|3508498291|8866119307|13321828754|10941365477|2440330600|13333772124|11809199038|13333772133|11809199040|9858087032|9858087031|13394732717|241141444|7306388656|7306401692|11809156550|3508501393|13521202209|8865669571|1827497838|13830222750|3508501395|11809199042|2246637381|7306401722
14378300,secondary,Savitha Chemical Road,yes,,5639835141|338305245|7374697307|7374697298|7374697295|13919997594|5648848277|7374697294|2244775615|2244775613|7374685675|2244775606|7374685663|6618296189|6618296187|2244775594|7374685638|7374685639|338306433|338306648|514964832
14378390,residential,,,,2242578187|7312560134|13371482977|2242578206|338513957|7312560122|1412336418|1412336414|7312560127|1412336416|140129177|12586863880
22475990,primary,Kalyan - Shil Road,yes,,241140394|241140644
22842149,motorway,Sion Panvel Highway,yes,80,12271647506|3890222326|5898596528|3890222328|245665780|245665757|3890222331|245665833|12328614094|977566533
22842320,residential,Sarojini Naidu Road,,,1643352103|10260888821|2237026691|7370721269|13597864953|2237026676|13597864960|1643352100|1643352088|11054762676|7370721268|7370721267|13597738357|11054783301|13597852430|13604515895|13598373351|7371649078|2237026616|1643352086|13621736022|13597809556|13597419735|7370721266|1643352085|4367646560|7370721235|13597200258|2241634017|13595573770|2237026584|13597838066|13594485738|1643352083|7370721265|245678241|13597453676|13594485751|7370721264|11056629617|1388354173
22842696,service,,,,1647251706|1386573814|1386573815|1386573816|1386573819|1386573823|1386573837|1386573843|1386573857|5839712921|1647252080
22842886,tertiary,Road Number 2,,,1644089912|2246473673|1644089914|8709064333|10279520070|11054745012|7361898693|1644089916|1644089919|7361643848|7361643849|1644089923|2246851554|11066394809|245673109|2246851697|10276589053|245673298
22843125,residential,Nana Palshikar Marg,,,6786347955|6786347956|245673647|6786347953|245673923|1879817649|1879817667|1879817701
22843127,residential,Padmavati Devi Marg,,,245673906|9169145240|667392408|245673896|7968243284
22843134,residential,Mukteswar Ashram Road,,,245673642|245673812
22843276,service,Main Gate Road,yes,,1879817556|667354765
22843286,tertiary,Seth Govindram Jolly Marg,yes,,13844361438|1640769664|13844361417|13844361416|1640769665|2245075994|13844361440|7361699105
22843362,residential,,yes,,13329681669|2245075799
22843417,tertiary,South Avenue,yes,,1344712175|7354763405|13893155208|1344712232|1344712205|1344712201|1344712229|1344712239|3736899076|1344712149|1344712202|1344712200|13523484530|1344712165|1344712160|6571811648|1344712199|1344712236|1344712206|1344712233|1344712174|10281936252
